Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2604,49.8%,345,48.7%,493,50.1%,132,52.2%,1607,49.7%,123,57.2%,24,64.9%,1,974,47.8%
Female,2621,50.2%,364,51.3%,492,49.9%,121,47.8%,1626,50.3%,92,42.8%,13,35.1%,2,1065,52.2%
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,250,4.8%,13,1.8%,65,6.6%,8,3.2%,164,5.1%,1,0.5%,0,0.0%,4,96,4.7%
10-19 Years,554,10.6%,52,7.3%,91,9.2%,36,14.2%,364,11.3%,1,0.5%,0,0.0%,5,221,10.8%
20-29 Years,1244,23.8%,186,26.2%,255,25.9%,44,17.4%,748,23.1%,14,6.5%,0,0.0%,6,519,25.5%
30-39 Years,963,18.4%,142,20.0%,180,18.3%,48,19.0%,585,18.1%,19,8.8%,2,5.4%,7,401,19.7%
40-49 Years,732,14.0%,117,16.5%,110,11.2%,40,15.8%,456,14.1%,27,12.6%,2,5.4%,8,270,13.2%
50-59 Years,686,13.1%,85,12.0%,138,14.0%,35,13.8%,427,13.2%,40,18.6%,4,10.8%,9,256,12.6%
60-69 Years,481,9.2%,70,9.9%,84,8.5%,26,10.3%,298,9.2%,41,19.1%,5,13.5%,10,178,8.7%
70-79 Years,227,4.3%,34,4.8%,37,3.8%,15,5.9%,141,4.4%,46,21.4%,15,40.5%,11,75,3.7%
80+ Years,89,1.7%,10,1.4%,25,2.5%,1,0.4%,51,1.6%,26,12.1%,9,24.3%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,265,5.1%,55,7.8%,91,9.2%,26,10.3%,90,2.8%,13,6.0%,0,0.0%,14,149,7.3%
Non-Hispanic,1926,36.9%,524,73.9%,645,65.5%,176,69.6%,562,17.4%,166,77.2%,36,97.3%,15,1167,57.2%
UI Ethnicity,2582,49.4%,0,0.0%,0,0.0%,0,0.0%,2582,79.8%,25,11.6%,0,0.0%,16,454,22.3%
Unknown Ethnicity,453,8.7%,130,18.3%,249,25.3%,51,20.2%,0,0.0%,11,5.1%,1,2.7%,17,269,13.2%
White,1205,23.1%,310,43.7%,402,40.8%,164,64.8%,323,10.0%,69,32.1%,15,40.5%,18,772,37.9%
Black,173,3.3%,42,5.9%,50,5.1%,15,5.9%,63,1.9%,6,2.8%,0,0.0%,19,85,4.2%
AI/AN,810,15.5%,154,21.7%,163,16.5%,12,4.7%,471,14.6%,52,24.2%,13,35.1%,20,291,14.3%
Asian,126,2.4%,26,3.7%,49,5.0%,8,3.2%,42,1.3%,12,5.6%,3,8.1%,21,79,3.9%
NHOPI,212,4.1%,48,6.8%,67,6.8%,2,0.8%,94,2.9%,41,19.1%,5,13.5%,22,104,5.1%
Multiple,165,3.2%,28,3.9%,35,3.6%,10,4.0%,90,2.8%,3,1.4%,0,0.0%,23,67,3.3%
Other,146,2.8%,15,2.1%,29,2.9%,10,4.0%,91,2.8%,7,3.3%,0,0.0%,24,56,2.7%
UI Race,2060,39.4%,0,0.0%,0,0.0%,0,0.0%,2060,63.7%,16,7.4%,0,0.0%,25,387,19.0%
Unknown Race,329,6.3%,86,12.1%,190,19.3%,32,12.6%,0,0.0%,9,4.2%,1,2.7%,26,198,9.7%
